Gap_4_Candles,Opening_5th_Candle,Max_Next_4,Min_Next_4
,,,
,,,
,,,
2.137,1883.268,1883.805,1880.388
2.31,1882.828,1883.805,1880.388
2.31,1883.308,1883.805,1880.238
2.077,1882.475,1882.525,1877.598
3.417,1880.445,1881.948,1875.308
3.417,1881.278,1881.788,1875.308
3.567,1880.298,1880.488,1875.308
4.927,1877.598,1881.158,1875.308
6.64,1877.615,1881.158,1877.118
6.48,1878.348,1884.235,1877.118
5.18,1879.375,1884.535,1878.028
5.85,1880.665,1884.535,1878.028
4.04,1879.208,1884.535,1878.835
7.117,1883.825,1884.535,1878.835
6.507,1880.325,1883.508,1878.835
6.507,1881.678,1883.508,1879.448
5.7,1880.968,1883.508,1879.448
5.7,1883.078,1883.145,1880.298
4.673,1881.118,1885.575,1880.298
4.06,1881.808,1885.665,1880.298
4.06,1882.105,1885.665,1881.148
2.847,1881.788,1886.135,1881.288
5.277,1884.398,1886.135,1882.745
5.367,1884.788,1886.135,1882.745
4.517,1884.668,1886.135,1883.088
4.847,1885.975,1886.125,1881.775
3.39,1884.348,1888.948,1881.775
3.39,1884.238,1890.258,1881.775
3.047,1883.688,1890.258,1881.775
4.35,1885.945,1890.258,1885.445
7.173,1887.978,1890.258,1881.068
8.483,1887.808,1887.878,1881.068
8.483,1887.088,1887.088,1877.198
4.813,1886.628,1886.705,1877.198
9.19,1884.698,1885.928,1877.198
6.81,1884.618,1887.428,1877.198
9.89,1880.098,1889.228,1879.468
9.507,1883.945,1889.228,1880.878
8.73,1881.198,1889.488,1880.878
10.23,1886.948,1892.018,1884.318
9.76,1886.825,1892.018,1884.318
8.35,1886.278,1892.018,1884.318
8.61,1888.215,1892.018,1885.205
7.7,1891.228,1892.875,1885.205
7.7,1888.438,1892.875,1885.205
7.7,1886.718,1892.875,1885.205
6.813,1888.405,1892.875,1888.355
7.67,1892.365,1893.258,1889.308
7.67,1891.105,1894.035,1889.308
7.67,1889.998,1895.568,1889.308
4.52,1891.928,1895.568,1891.688
3.95,1893.068,1898.058,1892.725
4.727,1893.345,1898.415,1892.725
6.26,1895.448,1898.958,1893.668
3.88,1894.878,1898.958,1894.755
5.333,1897.168,1898.958,1895.465
5.69,1897.008,1898.958,1895.465
5.29,1896.778,1897.695,1895.465
4.203,1895.835,1897.695,1894.848
3.493,1896.625,1897.695,1894.345
3.493,1897.055,1897.678,1894.305
2.23,1896.368,1897.948,1894.305
2.847,1894.848,1897.948,1894.305
3.35,1894.558,1898.138,1894.305
3.373,1897.015,1898.548,1896.608
3.643,1897.398,1898.548,1896.518
3.643,1897.748,1898.548,1896.518
3.833,1897.448,1898.548,1896.518
1.94,1897.738,1898.705,1896.518
2.03,1898.028,1898.925,1896.948
2.03,1898.125,1898.925,1897.558
2.03,1898.205,1899.235,1897.665
2.187,1898.378,1899.235,1897.748
1.977,1898.648,1899.235,1896.638
1.367,1898.478,1899.235,1895.138
1.57,1898.918,1898.928,1894.995
1.487,1897.748,1898.278,1894.995
2.597,1896.638,1896.918,1894.198
4.097,1895.338,1896.915,1892.768
3.933,1896.438,1896.865,1892.768
3.283,1895.925,1897.428,1892.768
2.72,1894.728,1897.428,1892.495
